#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" catchup="append" catchup-source="?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss}"
央视,#genre#
东南卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.94:1025
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.11:1025
三沙卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.191:1025
兵团卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.114:1025
新疆卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.113:1025
西藏卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.115:1025

福建本地台,#genre#
福建综合,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.1:1025
福建电视剧,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.5:1025
福建经济,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.7:1025
福建旅游,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.6:1025
福建少儿,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.9:1025
福建文体,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.44:1025
福建乡村振兴公共,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.3:1025
福建新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.4:1025
福建新闻广播,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.154:1025
福建综合,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.162:1025
福建综合,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.167:1025
平潭卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.117:1025
莆田1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.94:1025
海博TV,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.155:1025
泉州电视1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.98:1025
厦门1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.99:1025
凤凰资讯,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.48:1025
凤凰中文,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.47:1025
CHC家庭电影,http://120.198.101.106:9901/tsfile/live/1051_1.m3u8?key=txiptv
CHC家庭电影,http://120.198.101.106:9901/tsfile/live/1051_1.m3u8?key=txiptv
CHC家庭电影,http://120.238.94.82:9901/tsfile/live/1051_1.m3u8
CHC家庭电影,218.15.183.23:9901/tsfile/live/23038_1.m3u8
CHC动作电影,http://120.198.101.106:9901/tsfile/live/1052_1.m3u8?key=txiptv
CHC动作电影,http://120.198.101.106:9901/tsfile/live/1052_1.m3u8?key=txiptv
CHC动作电影,http://120.238.94.82:9901/tsfile/live/1052_1.m3u8
CHC动作电影,http://218.15.183.23:9901/tsfile/live/23039_1.m3u8
CHC动作电影,http://183.237.95.108:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CHC影迷电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
CHC影迷电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
CHC影迷电影,http://120.238.94.82:9901/tsfile/live/1053_1.m3u8
CHC影迷电影,http://218.15.183.23:9901/tsfile/live/23044_1.m3u8
CHC影迷电影,http://120.198.95.220:9901/tsfile/live/1038_1.m3u8?key=txiptv
CHC影迷电影,http://183.237.95.108:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CHC影迷电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
华数电影1,http://183.237.95.108:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
华数电影2,http://183.237.95.108:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0

精彩,#genre#
